serial_id,accFoundMonthIncome,accFundGroupConsumeFinanceCnt,accFundGroupScoreCardCreditHistoryShortPer,accFundGroupScoreCardCreditWhiteUserFlag,accFundGroupScoreCardInqyOrgLoanCard3m,accFundGroupScoreCardIsCrossProvinceBehaviorAccFound,accFundGroupScoreCardIsLargeAgeAccFound,accFundGroupScoreCardIsVillageLargeAccFound,accFundGroupScoreCardNotBankLoanAccountCntRatio,accFundGroupScoreCardPbcV2ScoreInfoScore,accFundGroupScoreCardShortTermLoanCntAfterAccFound,accFundGroupScoreCardStability,ageDelqScore,ageDelqex,amtUseRatioAccountAvg,amtUseRatioMax,amtUseRatioSum,amtuseratioaccountmax,balanceMax,balanceMaxR2,balanceMinR2,balanceSum,balanceavg1r2,balanceavgr2,balancemin1r2,balancesumr2,baseInfoCompanyNature,baseInfoEduLevel,baseInfoEduLevelScore,baseInfoMaritalStatus,baseInfoMaritalStatusScore,baseV0300000AddressIsConsistent,baseV03007MobileCnt,baseV04002SpsCerttype,baseV0500000AddressCnt,baseV0500004AddressCnt,baseV0500005AddressCnt,baseV0500007AddressCnt,baseV0500025AddressCnt,baseV0500034ResidenceTypeCnt,baseV0500041ResidenceTypeCnt,baseV05003ResdType,baseV05004ResdMtypeOwn,baseV05005ResdMtypeOth,baseV05007ResdTypeC1,baseV05011ResdTypeC5,baseV05017ResdTypeCna,baseV0600002Company,baseV0600003StartYearCnt,baseV0600005Industry
CR202403170010800000002531,,2,0,,0,,0,0,20,0,0,15,2,42,0.477391665,0.54953333,0.4678008,,8243,8243,0,16279,,,,,50,91,,91,,0,1,,5,1,1,1820,2,2,1,1,1,0,1,0,0,1,2632,1
CR202403170010800000002601,,0,0,,0,,0,0,,0,0,15,-11,59,0.2258171509090909,0.9494475,0.48144998,,379779,11910,0,448825,,,,,99,90,,90,,0,3,10,4,3,1,513,3,0,3,7,3,0,3,0,0,0,-999,0
CR202403170010800000003342,,1,0,,0,,0,0,,0,0,15,2,42,0.0260732325,0.00688333,0.00585317,,2065,0,0,2065,,,,,99,40,,40,,0,1,,5,0,1,1249,2,0,1,1,1,0,1,0,0,4,2998,2
CR202403170010800000003405,,0,0,,0,,0,0,,0,0,15,0,34,0.4,0.4,0.4,,1000,,,1000,,,,,,,,,,0,1,,0,0,0,-999,0,0,0,,0,0,0,0,1,-999,-999,-999
CR202403170010800000003746,,1,0,,0,,0,0,20,0,0,0,0,34,0.38087584999999996,0.17346939,0.22794271,,5100,5100,0,8753,,,,,99,20,,20,,0,2,,4,0,1,2399,1,0,0,3,1,1,1,0,0,3,-999,2
CR202403170010800000004147,,1,0,,0,,0,0,20,0,0,15,-11,22,0.0,0.0,0.0,,0,,,0,,,,,,40,,40,,0,1,,0,0,0,791,0,0,0,9,0,0,0,0,0,-999,-999,-999
CR202403170010800000005915,,4,0,,0,,0,0,20,0,0,15,0,30,0.20150609545454545,0.29827451,0.07515394,,15212,15212,0,24410,,,,,99,60,,60,,0,1,,4,3,1,512,3,3,1,1,1,0,1,0,0,4,-999,2
CR202403170010800000005959,,0,0,,0,,0,0,,0,0,15,0,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,-999,0,0,0,,0,0,0,0,1,-999,-999,-999
CR202403170010800000006180,,1,0,,0,,0,0,20,0,0,0,0,33,0.411661535,0.17171053,0.06136833,,32625,0,0,32625,,,,,99,20,,20,,0,1,,3,2,1,3114,2,0,1,1,1,0,1,0,0,2,-999,0
CR202403170010800000006674,,0,0,,0,,0,0,,0,0,15,6,38,0.42935,0.8587,0.6925,,42935,0,0,42935,,,,,99,90,,90,,0,2,,3,1,0,4342,2,2,0,9,0,1,0,1,0,1,-999,0
CR202403170010800000007179,,0,0,,0,,0,0,,0,0,15,0,25,2.8571333333333337E-4,6.383E-4,2.4793E-4,,30,30,0,30,,,,,50,30,,30,,0,1,,3,2,1,677,2,0,1,7,1,0,1,0,0,4,-999,2
CR202403170010800000007557,,1,0,,0,,0,0,,0,0,15,6,39,0.5073698269230769,0.81462637,0.44658081,,74131,21542,0,369509,,,,,99,30,,30,,0,1,,5,4,1,341,4,3,0,9,1,0,0,0,0,2,-999,0
CR202403170010800000007801,,0,0,,0,,0,0,20,0,0,30,0,33,0.6303694125,1.51623333,0.29784906,,45487,0,0,71037,,,,,99,91,,91,,1,2,,2,1,0,3879,1,1,0,9,0,1,0,1,0,2,-999,0
CR202403170010800000007847,,0,0,,0,,0,0,,0,0,15,0,32,0.23014818,0.9063,0.54984357,,72504,72504,0,133044,,,,,99,90,,90,,0,2,,5,1,0,1639,2,2,0,9,0,0,0,0,0,4,-999,2
CR202403170010800000008185,,1,0,,0,,0,0,,0,0,15,-11,51,0.36137607,0.26512821,0.25658206,,10340,4790,4790,15164,,,,,99,40,,40,,0,1,,3,0,1,2634,0,0,0,9,1,0,1,0,0,1,6650,1
CR202403170010800000008270,,1,0,,0,,0,0,20,0,0,15,0,27,,,,,,,,,,,,,99,40,,40,,0,2,10,2,0,0,2158,0,1,0,9,0,0,0,0,0,0,-999,-999
CR202403170010800000008277,,1,0,,0,,0,0,20,0,0,15,-11,51,0.0,0.0,0.0,,0,,,0,,,,,99,60,,60,,0,3,,2,0,1,1962,0,1,0,5,1,1,1,1,0,0,-999,-999
CR202403170010800000008792,,2,0,,0,,0,0,,0,0,15,-11,53,0.08771929666666667,0.26315789,0.18518519,,5000,0,0,5000,,,,,,,,,,0,2,,2,0,0,2074,0,1,0,9,0,1,0,0,0,-999,-999,-999
CR202403170010800000009209,,2,0,,0,,0,0,5,0,0,30,-11,54,0.147225,0.534625,0.25870496,,72709,0,0,85532,,,,,40,30,,30,,0,1,,5,1,1,7440,3,0,2,1,3,1,3,0,0,4,-999,4
CR202403170010800000009367,,0,0,,0,,0,0,,0,0,0,2,42,0.6102333333333333,0.8307,0.85395288,,99684,0,0,130484,,,,,99,20,,20,,0,2,,3,1,1,964,2,1,1,9,1,1,1,0,0,1,-999,0
CR202403170010800000009472,,1,0,,0,,0,0,,0,0,15,-3,47,0.08822222,0.17644444,0.06003781,,3176,3176,0,3176,,,,,50,30,,30,,0,1,,4,1,1,2809,1,0,1,7,2,0,2,0,0,3,10303,3
CR202403170010800000010181,,1,0,,0,,0,0,20,0,0,15,-11,53,2.613736363636364E-4,9.4132E-4,9.771E-5,,33,33,0,49,,,,,40,40,,40,,0,1,,5,0,1,1299,3,0,2,1,2,0,2,0,0,4,-999,2
CR202410140010800000000441,,8,0,,0,,0,0,,0,0,0,0,35,0.2859232538888889,0.640035,0.08904001,,128007,128007,0,242995,,,,,99,20,,20,,1,4,,3,1,1,893,2,0,1,9,1,0,1,0,0,4,-999,2
CR202410140010800000001223,,1,0,,0,,0,0,,0,0,30,2,41,0.086719695,0.52023121,0.23310541,,90000,0,0,90002,,,,,50,30,,30,,0,1,,5,2,1,755,4,0,3,9,3,0,3,0,0,4,-999,1
CR202410140010800000002488,,1,0,,0,,0,0,20,0,0,0,0,34,0.15791958,0.2,0.08026871,,60000,0,0,62433,,,,,99,20,,20,,0,2,,3,1,1,1206,1,0,1,9,3,0,2,0,0,4,-999,1
CR202410140010800000002993,,1,0,,0,,0,0,20,0,0,15,2,41,0.12409788380952382,0.555,0.17540137,,111000,5,0,124733,,,,,99,30,,30,,0,1,,5,4,1,341,4,2,1,7,1,0,1,0,0,4,-999,2
CR202410140010800000003432,,16,0,,0,15,0,0,5,0,0,0,-3,49,0.0,0.0,0.0,,0,0,0,0,,,,,99,20,,20,,0,2,,4,3,1,308,3,2,2,9,2,0,2,0,0,3,-999,1
CR202410140010800000003494,,1,0,,0,,0,0,,0,0,15,0,34,0.4784047622222222,0.74337826,0.32074623,,170977,170977,0,331395,,,,,99,30,,30,,0,2,,5,3,1,802,4,0,1,1,1,0,1,0,0,4,-999,1
CR202410140010800000003596,,0,0,,0,,0,0,,0,0,15,-3,46,0.25976374999999996,1.0,0.29478141,,200000,28888,0,256902,,,,,40,90,,90,,0,1,,5,4,1,473,4,1,0,9,1,1,0,1,0,3,-999,3
CR202410140010800000004032,,1,0,,0,15,0,0,,0,0,15,6,40,0.20656679,1.0,0.39443483,,200000,0,0,391630,,,,,99,90,,90,,0,2,,5,4,1,343,4,1,1,7,1,1,1,0,0,4,-999,1
CR202410140010800000005507,,1,0,,0,,0,0,,0,0,0,2,43,0.44759868449999995,1.0,0.62024748,,288898,140705,0,1759523,,,,,50,20,,20,,0,2,,3,2,1,342,2,3,1,5,1,1,1,1,0,4,-999,1
CR202410140010800000006202,,5,0,,0,,0,0,,0,0,0,0,29,0.5297142857142857,1.0,0.43137271,,300000,620,0,938620,,,,,20,20,,20,,0,4,,4,3,1,412,3,1,1,9,1,0,1,0,0,2,-999,2
CR202410140010800000007482,,36,0,,0,,0,0,20,0,0,15,0,35,0.02955458222222222,0.0657,0.01070272,,2628,2291,0,4919,,,,,40,90,,90,,0,1,,2,1,0,655,1,0,0,9,0,1,0,0,0,4,-999,2
CR202410140010800000009659,,0,0,,0,,0,0,,0,0,15,2,43,0.003058027272727273,0.0336383,0.00917735,,1581,1581,0,1581,,,,,99,30,,30,,0,1,,5,0,1,1229,0,0,0,3,1,2,1,0,0,4,-999,2
CR202410140010800000009895,,0,0,,0,,0,0,,0,0,0,6,36,0.10429911666666666,0.88,0.22865566,,440000,0,0,516682,,,,,10,20,,20,,0,1,,5,0,0,1180,1,0,0,9,0,1,0,0,0,3,-999,2
CR202404150010800000000883,,1,0,,0,,0,0,,0,0,15,-11,57,0.29119,0.29119,0.28782248,,29119,,,29119,,,,,,90,,90,,0,2,,1,0,0,538,0,0,0,9,0,0,0,0,0,-999,-999,-999
CR202404150010800000001348,,1,0,,0,,0,0,,0,0,0,-11,54,0.0,0.0,0.0,,0,0,0,0,,,,,99,20,,20,,0,2,,5,0,0,2743,1,0,0,9,0,0,0,0,0,3,-999,1
CR202404150010800000001509,,8,0,,0,,0,0,,0,0,15,-11,56,0.15525146130434783,0.90165333,0.32384093,,270496,12892,0,339543,,,,,40,30,,30,,0,3,,5,4,1,491,4,1,1,9,1,0,1,0,0,4,12888,1
CR202404150010800000001715,,0,0,,0,,0,0,,0,0,0,0,34,0.25326038727272726,1.0,0.37774969,,150000,50262,0,300311,,,,,50,20,,20,,0,1,,4,3,0,460,3,4,0,9,0,0,0,0,0,4,1566,2
CR202404150010800000002023,,13,0,,0,,0,0,20,0,0,15,6,37,0.37825213142857145,0.86704825,0.35114015,,91647,,,195781,,,,,99,90,,90,,0,3,,5,2,1,1294,3,1,0,9,1,0,0,0,0,0,-999,0
CR202404150010800000002747,,1,0,,0,,0,0,,0,0,15,6,36,0.21205619727272726,0.930875,0.35954263,,186175,13895,0,229070,,,,,50,30,,30,,0,3,,5,2,1,1028,4,2,3,1,4,0,3,0,0,4,-999,1
CR202404150010800000003087,,0,0,,0,,0,0,,0,0,30,-11,54,0.232643356,1.16321678,1.01576717,,166340,166340,0,166340,,,,,50,60,,60,,0,2,,3,2,1,840,2,0,2,9,2,0,2,0,0,2,-999,2
CR202404150010800000003459,,0,0,,0,,0,0,,0,0,0,-3,48,0.6666666666666666,1.0,0.89136093,,100000,0,0,200000,,,,,99,20,,20,,0,2,,4,1,1,5585,1,3,2,5,2,1,2,1,0,2,-999,1
CR202404150010800000003560,,0,0,,0,,0,0,,0,0,15,-3,49,0.33224,0.66448,0.59328571,,33224,0,0,33224,,,,,99,60,,60,,0,1,,4,0,1,5049,1,0,0,9,2,0,1,0,0,0,-999,0
CR202404150010800000003816,,3,0,,0,,0,0,20,0,0,15,0,26,0.15614197555555556,1.29527778,0.28965922,,69945,69945,0,70583,,,,,99,30,,30,,0,2,,5,4,1,474,4,0,0,11,2,0,0,0,0,4,-999,3
CR202404150010800000004297,,1,0,,0,,0,0,,0,0,15,6,38,0.14150000000000001,0.02228571,0.02438462,,468,,,634,,,,,99,99,,99,,0,1,,2,0,1,2765,0,0,0,9,1,0,1,0,0,0,-999,0
CR202404150010800000004382,,0,0,,0,,0,0,,0,0,15,-11,53,0.78244167,0.78244167,0.78244167,,93893,,,93893,,,,,50,90,,90,,0,2,10,1,0,1,1144,0,1,1,9,2,0,2,0,0,0,-999,0
CR202404150010800000005780,,0,0,,0,,0,0,,0,0,15,-11,23,0.6666666666666666,1.0,0.95541401,,200000,0,0,300000,,,,,99,99,,99,,0,2,,5,1,1,1038,4,0,1,9,2,1,1,0,0,3,3027,2
CR202404150010800000006180,,1,0,,0,,0,0,20,0,0,0,2,45,0.13242277333333333,0.34052239,0.10596107,,22815,22815,0,26130,,,,,99,20,,20,,0,1,,5,0,1,4534,1,0,1,9,1,0,1,0,0,2,-999,1
CR202404150010800000006577,,1,0,,0,15,0,0,,0,0,15,6,38,0.7853661788235294,1.0,0.65640228,,200000,140900,0,801905,,,,,99,30,,30,,0,1,,4,3,1,382,3,3,1,1,1,0,1,0,0,2,-999,1
CR202404150010800000006713,,1,0,,0,,0,0,,0,0,15,-3,50,0.458164285,0.320715,0.16043772,,64143,64143,0,64143,,,,,99,99,,99,,0,1,10,5,4,1,549,4,2,1,1,3,0,1,0,0,4,3757,1
CR202404150010800000006740,,1,0,,0,,0,0,20,0,0,15,6,40,0.0,0.0,0.0,,0,,,0,,,,,,,,,,0,1,,0,0,0,-999,0,0,0,,0,0,0,0,1,-999,-999,-999
CR202404150010800000007675,,1,0,,0,,0,0,,0,0,15,-11,55,0.033809523333333334,0.10142857,0.02690953,,1207,0,0,1207,,,,,40,40,,40,,0,2,10,2,0,1,2608,1,1,0,2,2,0,1,0,0,1,-999,0
CR202404150010800000008216,,14,0,,0,,0,0,5,0,0,15,6,37,0.13147506263157896,1.0,0.35627737,,880000,20355,0,997158,,,,,40,30,,30,,0,4,10,4,3,1,624,3,2,1,9,2,0,1,0,0,4,-999,0
CR202404150010800000008594,,1,0,,0,,0,0,20,0,0,15,6,38,0.0,0.0,0.0,,0,0,0,0,,,,,40,30,,30,,0,1,,4,0,1,3934,1,0,1,9,1,0,1,0,0,2,-999,0
CR202404150010800000009059,,1,0,,0,,0,0,20,0,0,15,6,36,0.109287659,0.58192956,0.21019859,,38000,4119,0,62281,,,,,99,30,,30,,0,1,,5,4,1,618,4,0,1,1,1,2,1,1,0,4,-999,1
CR202404150010800000009253,,1,0,,0,,0,0,,0,0,15,0,34,0.11072,0.03417284,0.02011482,,2768,0,0,2768,,,,,99,30,,30,,0,3,,4,0,1,1120,2,0,0,5,1,3,1,1,0,3,-999,2
CR202404150010800000009887,,0,0,,0,,0,0,,0,0,15,-11,52,0.0,0.0,0.0,,0,0,0,0,,,,,99,60,,60,,0,1,,2,0,1,1221,0,0,0,9,1,0,1,0,0,0,-999,0
CR202404150010800000010659,,2,0,,0,15,0,0,,0,0,15,-3,47,0.3230938022222222,1.0,0.49731276,,300000,77687,0,1126857,,,,,50,40,,40,,0,2,,4,3,1,370,3,1,0,9,1,0,0,0,0,3,-999,1
CR202404150010800000011144,,3,0,,0,,0,0,20,0,0,15,-11,55,0.0,0.0,0.0,,0,,,0,,,,,99,40,,40,,0,2,10,1,0,0,1784,0,0,0,9,0,0,0,0,0,0,3027,0
CR202404150010800000011266,,2,0,,0,,0,0,20,0,0,15,-3,49,0.0076568040000000006,0.03828402,0.01098472,,647,0,0,647,,,,,99,30,,30,,0,1,,3,0,0,1462,0,1,0,9,0,1,0,1,0,1,-999,1
CR202404150010800000012230,,4,0,,0,,0,0,20,0,0,15,0,33,0.03906875,0.04808462,0.02527015,,6251,6251,0,6251,,,,,40,90,,90,,0,2,,4,1,1,1040,3,0,2,3,2,2,2,0,0,4,-999,1
CR202404150010800000012329,,0,0,,0,,0,0,,0,0,15,-3,46,6.7143E-4,6.7143E-4,6.7143E-4,,47,,,47,,,,,99,,,,,0,2,,1,0,1,5576,0,0,0,1,1,0,1,0,0,0,-999,-999
CR202404150010800000012697,,0,0,,0,,0,0,20,0,0,15,2,43,0.4569961216666667,0.58047423,0.47950511,,56306,31522,0,117239,,,,,99,30,,30,,0,1,10,5,3,0,943,4,0,0,9,0,0,0,0,0,4,-999,3
CR202404150010800000013398,,1,0,,0,,0,0,,0,0,15,0,33,0.022714285,0.04542857,0.04416667,,159,,,159,,,,,99,30,,30,,0,2,,1,0,1,1557,0,0,0,11,1,0,0,0,0,0,-999,0
CR202404150010800000014113,,0,0,,0,,0,0,,0,0,15,-11,52,,,,,,,,,,,,,99,20,,20,,0,1,,3,1,0,979,2,0,0,9,0,0,0,0,0,0,5218,0
CR202404150010800000014194,,1,0,,0,,0,0,20,0,0,15,0,29,0.010588235,0.0036,0.00307692,,36,0,0,36,,,,,99,60,,60,,0,1,,1,0,0,1651,0,0,0,7,0,0,0,0,0,0,-999,0
CR202404150010800000014274,,1,0,,0,,0,0,20,0,0,15,0,28,0.12204347666666666,0.36613043,0.22160526,,16842,16842,16842,16842,,,,,99,40,,40,,0,1,,4,0,0,2316,0,0,0,9,0,0,0,0,0,3,3392,2
CR202404150010800000014425,,3,0,,0,15,0,0,,0,0,0,0,33,0.9080980775,1.0,0.35671662,,300000,83920,12008,956928,,,,,99,20,,20,,0,2,,4,3,1,490,3,0,0,9,2,0,0,0,0,4,2296,2
CR202404150010800000015488,,1,0,,0,,0,0,20,0,0,15,0,27,0.42397119250000004,1.0,0.7320614,,150000,0,0,166910,,,,,99,60,,60,,0,1,10,5,4,1,209,4,4,0,2,1,2,0,0,0,3,3027,1
CR202404150010800000015988,,0,0,,0,,0,0,,0,0,15,6,38,0.0,0.0,0.0,,0,0,0,0,,,,,20,60,,60,,0,1,,4,1,1,1119,2,1,2,1,2,0,2,0,0,0,-999,0
CR202404150010800000017942,,3,0,,0,,0,0,20,0,0,15,-11,53,0.12301887,0.01738667,0.01428258,,1304,0,0,1304,,,,,99,30,,30,,0,2,,3,0,0,3098,0,0,0,9,0,0,0,0,0,1,4488,0
CR202404150010800000018435,,0,0,,0,,0,0,,0,0,15,-3,47,0.0,0.0,0.0,,0,0,0,0,,,,,50,90,,90,,0,1,10,2,0,1,2379,0,1,0,9,2,0,1,0,0,0,-999,0
CR202404150010800000018987,,1,0,,0,,0,0,,0,0,15,-3,46,0.1506370825,0.52317333,0.49389255,,156952,0,0,157206,,,,,99,30,,30,,0,1,,3,0,0,1038,2,0,0,9,0,1,0,0,0,1,-999,0
CR202404150010800000019214,,11,0,,0,,0,0,20,0,0,0,6,38,0.09023468700000001,0.25336667,0.08178217,,45606,2607,0,61282,,,,,99,20,,20,,0,1,,5,1,0,1043,4,2,0,9,0,2,0,2,0,4,-999,2
CR202404150010800000019533,,0,0,,0,,0,0,,0,0,15,2,41,0.003988095,0.00957143,0.00334665,,335,335,0,335,,,,,99,30,,30,,0,1,,3,0,0,2376,0,0,0,9,0,1,0,0,0,2,3757,1
CR202404150010800000019953,,0,0,,0,,0,0,,0,0,15,-11,51,0.0018236904999999997,0.00694286,7.6575E-4,,486,486,0,703,,,,,99,90,,90,,0,3,,4,3,1,743,3,0,2,9,2,0,2,0,0,4,-999,2
CR202404150010800000020160,,1,0,,0,,0,0,,0,0,15,2,44,0.1737538,0.22847335,0.07259332,,25093,0,0,48734,,,,,99,90,,90,,0,2,,3,2,0,624,2,1,0,9,0,0,0,0,0,3,4853,0
CR202404150010800000021118,,2,0,,0,15,0,0,,0,0,0,6,38,0.329115128,1.61103,0.55618646,,161103,161103,0,547357,,,,,99,20,,20,,0,2,,5,4,1,182,4,4,1,1,1,0,1,0,0,4,-999,3
CR202404150010800000021896,,2,0,,0,,0,0,5,0,0,15,0,32,0.0,0.0,0.0,,0,0,0,0,,,,,99,99,,99,,1,3,,5,4,1,470,4,2,1,1,1,0,1,0,0,4,-999,1
CR202404150010800000023024,,1,0,,0,,0,0,,0,0,0,0,32,0.09294851533333333,0.33470476,0.17707822,,35144,35144,0,67422,,,,,99,20,,20,,0,1,,4,0,1,1761,0,0,0,2,2,0,0,0,0,3,-999,0
CR202404150010800000023440,,0,0,,0,,0,0,,0,0,15,2,41,0.2373833333333333,0.47476667,0.15431035,,14243,14243,0,14243,,,,,99,60,,60,,0,2,,2,0,1,1949,0,0,1,1,2,0,2,0,0,0,4853,0
CR202410240010800000000985,,0,0,,0,,0,0,20,0,0,15,-11,52,0.020633333333333333,0.0619,0.02507359,,1857,0,0,1857,,,,,40,91,,91,,0,1,10,4,1,1,3859,1,1,0,7,1,0,1,0,0,1,5045,1
CR202410240010800000001435,,1,0,,0,15,0,0,,0,0,0,2,41,0.41313918857142856,1.0,0.6667614,,300000,94827,0,1513303,,,,,20,20,,20,,0,2,,5,4,1,223,4,2,1,9,2,0,1,0,0,4,6506,1
CR202410240010800000002228,,1,0,,0,,0,0,,0,0,15,6,36,0.24009554428571428,0.595695,0.28762653,,119139,373,0,164810,,,,,99,30,,30,,0,2,,3,0,1,1632,1,1,0,9,1,0,0,0,0,1,-999,1
CR202410240010800000002289,,0,0,,0,15,0,0,,0,0,15,0,33,1.1324924414285715,0.6,0.25157555,,300000,219076,141846,1481101,,,,,20,90,,90,,1,1,,5,4,0,401,4,2,0,9,0,2,0,2,0,3,-999,1
CR202410240010800000002542,,0,0,,0,,0,0,,0,0,0,0,35,0.2908594936363636,0.49220776,0.34330765,,177687,177687,0,303359,,,,,99,20,,20,,0,5,,5,1,1,1239,2,2,1,7,1,1,1,1,0,4,-999,1
CR202410240010800000002638,,4,0,,0,15,0,0,,0,0,15,2,42,0.2725816091666667,1.0,0.3532273,,300000,5484,0,695690,,,,,99,30,,30,,0,3,,4,3,1,468,3,1,1,7,1,1,1,1,0,4,-999,0
CR202410240010800000002808,,5,0,,0,15,0,0,,0,0,0,0,34,0.46604673380952377,1.0,0.51882028,,500000,73803,0,1751930,,,,,99,20,,20,,1,1,,4,3,1,266,3,3,1,9,2,0,1,0,0,4,-999,1
CR202410240010800000002985,,1,0,,0,15,0,0,,0,0,15,-3,47,0.17251258,0.98932584,0.27169819,,176100,52862,0,321432,,,,,99,60,,60,,0,3,10,5,2,1,859,4,0,1,7,1,1,1,1,0,4,2488,1
CR202410240010800000003225,,2,0,,0,,0,0,,0,0,0,0,30,0.251706294,0.039935,0.01803617,,7987,0,0,8477,,,,,99,20,,20,,1,1,,5,0,1,2527,1,0,0,9,2,0,2,0,0,2,-999,1
CR202410240010800000004442,,2,0,,0,,0,0,,0,0,0,6,39,0.2730239485,0.5335,0.12359631,,106700,0,0,383408,,,,,99,10,,10,,0,2,,5,4,1,199,4,4,0,9,3,1,0,0,0,4,-999,2
CR202410240010800000004496,,0,0,,0,,0,0,,0,0,15,2,41,0.0,0.0,0.0,,0,0,0,0,,,,,99,40,,40,,0,1,10,5,0,1,3888,1,0,0,9,1,0,1,0,0,1,-999,1
CR202410240010800000004969,,6,0,,0,,0,0,,0,0,15,6,39,0.34979860555555553,0.85,0.24858474,,170000,0,0,418212,,,,,99,90,,90,,0,2,,3,1,1,1020,2,1,1,9,1,0,1,0,0,4,-999,2
CR202410240010800000005719,,0,0,,0,,0,0,,0,0,15,2,41,0.7807999999999999,3.893,1.2272064,,116790,116790,0,116900,,,,,40,40,,40,,0,1,,4,2,1,811,3,1,1,9,1,1,1,0,0,3,-999,2
CR202410240010800000006258,,2,0,,0,,0,0,,0,0,15,-3,49,0.3334999921428571,0.424836,0.21538341,,106209,63984,0,286472,,,,,50,60,,60,,0,2,,4,3,1,212,3,4,1,9,2,2,1,2,0,3,-999,1
CR202410240010800000007363,,1,0,,0,,0,0,,0,0,15,2,45,0.05606742571428571,1.03253448,0.24208481,,59887,59887,0,63907,,,,,20,60,,60,,0,1,,5,4,1,694,4,3,1,7,2,0,1,0,0,3,-999,1
CR202410240010800000007679,,1,0,,0,,0,0,,0,0,0,0,34,0.9198943516666667,1.0,0.36808332,,400000,111600,0,1622858,,,,,99,20,,20,,0,2,,3,2,1,345,2,0,2,7,2,0,2,0,0,3,-999,2
CR202410240010800000008355,,0,0,,0,,0,0,,0,0,15,-3,46,0.0,0.0,0.0,,0,0,0,0,,,,,99,60,,60,,0,1,,5,1,0,972,4,0,0,9,0,0,0,0,0,2,1758,2
CR202410240010800000008587,,1,0,,0,,0,0,,0,0,0,2,44,0.53632931,1.0,0.66049807,,200000,12951,0,735993,,,,,50,10,,10,,0,2,,5,2,0,2276,2,0,0,9,0,1,0,1,0,2,-999,2
CR202410240010800000009878,,22,0,,0,15,0,0,5,0,0,0,0,35,0.5246234120000001,0.74479933,0.27739544,,222695,222695,0,780674,,,,,99,20,,20,,0,3,,4,3,1,467,3,2,1,9,1,0,1,0,0,4,-999,1
CR202403150010800000000163,,0,0,,0,,0,0,,0,0,15,-3,47,0.0013888891666666667,0.00166667,9.4103E-4,,50,50,0,50,,,,,50,60,,60,,0,2,,4,0,1,2619,2,0,2,1,4,0,3,0,0,1,5918,1
CR202403150010800000000407,,0,0,,0,15,0,0,,0,0,15,-3,46,0.44092509153846154,1.0,0.43406513,,270000,3,0,963928,,,,,99,30,,30,,0,2,,3,2,1,451,2,0,1,9,1,0,1,0,0,1,-999,0
CR202403150010800000000455,,0,0,,0,,0,0,,0,0,15,-3,50,1.0,1.0,0.5,,60000,,,60000,,,,,,90,,90,,0,1,,1,0,0,680,0,0,0,5,0,1,0,1,0,-999,-999,-999
CR202403150010800000000513,,0,0,,0,,0,0,,0,0,15,2,42,0.375,0.375,0.375,,1500,1500,1500,1500,,,,,99,60,,60,,0,2,,3,1,1,1031,2,0,1,9,2,0,1,0,0,4,-999,3
CR202403150010800000001503,,1,0,,0,,0,0,20,0,0,15,0,34,0.87,0.87,0.87,,870,,,870,,,,,,,,,,0,1,,0,0,0,-999,0,0,0,,0,0,0,0,1,-999,-999,-999
CR202403150010800000001604,,3,0,,0,,0,0,20,0,0,15,0,35,0.15296904,0.57446809,0.16439526,,27000,0,0,28299,,,,,99,91,,91,,0,2,,4,0,1,2823,1,1,1,9,1,0,1,0,0,1,-999,0
CR202403150010800000002428,,1,0,,0,,0,0,,0,0,15,-11,53,0.365873565,0.92042857,0.61261083,,57987,0,0,58731,,,,,40,10,,10,,0,2,,4,3,1,456,3,1,3,6,5,0,3,0,0,2,-999,2
CR202403150010800000002602,,0,0,,0,,0,0,,0,0,15,-11,52,0.0,0.0,0.0,,0,0,0,0,,,,,99,60,,60,,0,1,,1,0,1,1942,0,0,0,9,1,0,0,0,0,0,8474,0
CR202403150010800000002913,,0,0,,0,,0,0,,0,0,15,6,39,6.166675E-4,0.00246667,7.8723E-4,,37,37,0,37,,,,,40,60,,60,,0,2,,4,0,1,3350,2,0,1,9,2,0,2,0,0,3,-999,1
CR202403150010800000003304,,1,0,,0,15,0,0,,0,0,0,-3,47,0.142766665,0.13165903,0.02607039,,4283,4283,4283,4283,,,,,99,20,,20,,0,1,10,3,1,1,998,2,1,1,1,1,0,1,0,0,4,-999,1
CR202403150010800000003445,,0,0,,0,,0,0,,0,0,30,-11,56,0.995,0.99,0.90151515,,49500,,,59500,,,,,99,60,,60,,0,2,,3,1,1,3826,1,0,1,9,1,0,1,0,0,1,-999,0
CR202403150010800000003683,,0,0,,0,,0,0,,0,0,15,0,29,0.0,0.0,0.0,,0,0,0,0,,,,,99,40,,40,,0,1,,5,4,0,504,4,2,0,9,0,1,0,0,0,3,-999,1
CR202403150010800000003805,,2,0,,0,,0,0,,0,0,15,6,36,0.08057545,0.06505426,0.04739967,,4196,,,7161,,,,,99,40,,40,,0,1,10,5,2,0,1830,2,0,0,7,0,2,0,0,0,0,-999,0
CR202403150010800000004541,,1,0,,0,,0,0,,0,0,15,0,32,0.024113359999999997,0.10266667,0.03289877,,4312,0,0,9380,,,,,99,60,,60,,0,1,10,5,4,1,643,4,3,1,7,2,0,1,0,0,4,-999,2
